//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 10-11-2015
//--  Time: 15:40
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 20(C), 	Resistance 1: 2500 Ohms 
//--    Temperature2: 50(C), 	Resistance 2: 800 Ohms 
//--    Temperature3: 90(C), 	Resistance 3: 230 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
534	64.38	644 	2.607
535	64.21	642 	2.612
536	64.04	640 	2.617
537	63.88	639 	2.622
538	63.71	637 	2.627
539	63.54	635 	2.632
540	63.37	634 	2.637
541	63.21	632 	2.642
542	63.04	630 	2.646
543	62.87	629 	2.651
544	62.70	627 	2.656
545	62.54	625 	2.661
546	62.37	624 	2.666
547	62.20	622 	2.671
548	62.04	620 	2.676
549	61.87	619 	2.681
550	61.70	617 	2.686
551	61.54	615 	2.690
552	61.37	614 	2.695
553	61.20	612 	2.700
554	61.04	610 	2.705
555	60.87	609 	2.710
556	60.70	607 	2.715
557	60.54	605 	2.720
558	60.37	604 	2.725
559	60.20	602 	2.729
560	60.04	600 	2.734
561	59.87	599 	2.739
562	59.70	597 	2.744
563	59.54	595 	2.749
564	59.37	594 	2.754
565	59.20	592 	2.759
566	59.04	590 	2.764
567	58.87	589 	2.769
568	58.71	587 	2.773
569	58.54	585 	2.778
570	58.37	584 	2.783
571	58.21	582 	2.788
572	58.04	580 	2.793
573	57.87	579 	2.798
574	57.71	577 	2.803
575	57.54	575 	2.808
576	57.38	574 	2.813
577	57.21	572 	2.817
578	57.04	570 	2.822
579	56.88	569 	2.827
580	56.71	567 	2.832
581	56.55	565 	2.837
582	56.38	564 	2.842
583	56.21	562 	2.847
584	56.05	560 	2.852
585	55.88	559 	2.856
586	55.72	557 	2.861
587	55.55	555 	2.866
588	55.38	554 	2.871
589	55.22	552 	2.876
590	55.05	551 	2.881
591	54.89	549 	2.886
592	54.72	547 	2.891
593	54.55	546 	2.896
594	54.39	544 	2.900
595	54.22	542 	2.905
596	54.05	541 	2.910
597	53.89	539 	2.915
598	53.72	537 	2.920
599	53.56	536 	2.925
600	53.39	534 	2.930
601	53.22	532 	2.935
602	53.06	531 	2.939
603	52.89	529 	2.944
604	52.73	527 	2.949
605	52.56	526 	2.954
606	52.39	524 	2.959
607	52.23	522 	2.964
608	52.06	521 	2.969
609	51.89	519 	2.974
610	51.73	517 	2.979
611	51.56	516 	2.983
612	51.39	514 	2.988
613	51.23	512 	2.993
614	51.06	511 	2.998
615	50.89	509 	3.003
616	50.73	507 	3.008
617	50.56	506 	3.013
618	50.39	504 	3.018
619	50.23	502 	3.022
620	50.06	501 	3.027
621	49.89	499 	3.032
622	49.73	497 	3.037
623	49.56	496 	3.042
624	49.39	494 	3.047
625	49.23	492 	3.052
626	49.06	491 	3.057
627	48.89	489 	3.062
628	48.73	487 	3.066
629	48.56	486 	3.071
630	48.39	484 	3.076
631	48.22	482 	3.081
632	48.06	481 	3.086
633	47.89	479 	3.091
634	47.72	477 	3.096
635	47.55	476 	3.101
636	47.39	474 	3.105
637	47.22	472 	3.110
638	47.05	470 	3.115
639	46.88	469 	3.120
640	46.71	467 	3.125
641	46.55	465 	3.130
642	46.38	464 	3.135
643	46.21	462 	3.140
644	46.04	460 	3.145
645	45.87	459 	3.149
646	45.70	457 	3.154
647	45.54	455 	3.159
648	45.37	454 	3.164
649	45.20	452 	3.169
650	45.03	450 	3.174
651	44.86	449 	3.179
652	44.69	447 	3.184
653	44.52	445 	3.188
654	44.35	444 	3.193
655	44.18	442 	3.198
656	44.01	440 	3.203
657	43.84	438 	3.208
658	43.67	437 	3.213
659	43.50	435 	3.218
660	43.34	433 	3.223
661	43.17	432 	3.228
662	43.00	430 	3.232
663	42.82	428 	3.237
664	42.65	427 	3.242
665	42.48	425 	3.247
666	42.31	423 	3.252
667	42.14	421 	3.257
668	41.97	420 	3.262
669	41.80	418 	3.267
670	41.63	416 	3.271
671	41.46	415 	3.276
672	41.29	413 	3.281
673	41.12	411 	3.286
674	40.95	409 	3.291
675	40.77	408 	3.296
676	40.60	406 	3.301
677	40.43	404 	3.306
678	40.26	403 	3.311
679	40.09	401 	3.315
680	39.91	399 	3.320
681	39.74	397 	3.325
682	39.57	396 	3.330
683	39.40	394 	3.335
684	39.22	392 	3.340
685	39.05	390 	3.345
686	38.88	389 	3.350
687	38.70	387 	3.354
688	38.53	385 	3.359
689	38.36	384 	3.364
690	38.18	382 	3.369
691	38.01	380 	3.374
692	37.83	378 	3.379
693	37.66	377 	3.384
694	37.48	375 	3.389
695	37.31	373 	3.394
696	37.14	371 	3.398
697	36.96	370 	3.403
698	36.79	368 	3.408
699	36.61	366 	3.413
700	36.43	364 	3.418
701	36.26	363 	3.423
702	36.08	361 	3.428
703	35.91	359 	3.433
704	35.73	357 	3.438
705	35.55	356 	3.442
706	35.38	354 	3.447
707	35.20	352 	3.452
