#Firmware: MS2/Extra release 3.3.1  20131206 18:45GMT(c)KC/JSM/JB   MS2
ToothTime,Time
ms,ms
0.88308,475.52078
0.85338,476.37418
0.87186,477.24603
0.87384,478.11987
0.87384,478.9937
0.87714,479.87085
0.8778,480.74866
0.87978,481.62845
0.8811,482.50955
0.8811,483.39066
0.88242,484.27307
0.88044,485.1535
0.88176,486.03528
0.8811,486.91638
0.8811,487.7975
0.88374,488.6812
0.88638,489.5676
2.62944,492.19702
0.89628,493.0933
0.87186,493.96515
0.87318,494.83832
0.87318,495.7115
0.87384,496.58533
0.87252,497.45786
0.8712,498.32904
0.8712,499.20023
0.8712,500.0714
0.86988,500.94128
0.88242,501.8237
0.85998,502.6837
0.87186,503.55554
0.87252,504.42807
0.87318,505.30124
0.8778,506.17905
0.87912,507.05817
0.8778,507.93597
0.88242,508.8184
0.88176,509.70016
0.88176,510.58194
0.88242,511.46436
0.88242,512.3468
0.8811,513.2279
0.88308,514.11096
0.87978,514.9907
0.87714,515.86786
0.87582,516.74365
0.87384,517.6175
0.87186,518.4894
0.86922,519.3586
0.86724,520.2258
0.86592,521.09174
0.86592,521.95764
0.86592,522.82355
0.86592,523.68945
0.86526,524.5547
0.86394,525.41864
0.86592,526.28455
0.86394,527.1485
0.8778,528.0263
0.84876,528.87506
0.86592,529.74097
0.86856,530.6095
0.8679,531.4774
0.87054,532.34796
0.8712,533.2192
0.87318,534.09235
0.8745,534.96686
0.87516,535.84204
0.87516,536.7172
0.8745,537.59174
0.87516,538.4669
0.8745,539.34143
0.87516,540.2166
0.8778,541.0944
0.8778,541.9722
2.6037,544.5759
0.88704,545.46295
0.86196,546.3249
0.86262,547.1875
0.86328,548.0508
0.86328,548.91406
0.86262,549.7767
0.8613,550.638
0.86064,551.49866
0.86196,552.3606
0.8613,553.2219
0.8712,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
0.0,554.09314
MARK 001
0.87252,554.96564
0.8745,555.84015
0.8745,556.71466
0.8745,557.5892
0.8745,558.4637
0.87252,559.3362
0.87054,560.2067
0.8712,561.07794
0.8679,561.94586
0.86526,562.8111
0.86394,563.67505
0.86064,564.5357
0.86064,565.39636
0.8613,566.2577
0.85998,567.1177
0.85998,567.97766
0.858,568.83563
0.85932,569.69495
0.85866,570.5536
0.8712,571.4248
0.84348,572.2683
0.85998,573.1283
0.86196,573.99023
0.86328,574.8535
0.8646,575.71814
0.86526,576.5834
0.8679,577.4513
0.86856,578.3198
0.86922,579.189
0.87054,580.0596
0.86856,580.9281
0.86988,581.798
0.86856,582.6665
0.86724,583.53375
0.86922,584.40295
0.86922,585.27216
2.56476,587.8369
0.87384,588.71075
0.84942,589.5602
0.85074,590.41095
0.85074,591.2617
0.85206,592.1138
0.85074,592.96454
0.85074,593.8153
0.85008,594.6654
0.85008,595.5155
0.84942,596.3649
0.85998,597.2249
0.83952,598.06445
0.85008,598.91455
0.85008,599.76465
0.8514,600.616
0.8547,601.4707
0.85536,602.32605
0.85536,603.1814
0.858,604.03937
0.85866,604.898
0.85932,605.7573
0.85932,606.61664
0.85932,607.47595
0.86064,608.3366
0.86196,609.19855
0.85998,610.05853
0.85998,610.9185
0.858,611.7765
0.858,612.63446
0.85602,613.4905
0.85338,614.3439
0.8514,615.19525
0.84876,616.044
0.8481,616.8921
0.84876,617.74084
0.84744,618.58826
0.84678,619.43506
0.84612,620.2812
0.84612,621.1273
0.84546,621.9728
0.85932,622.8321
0.83028,623.66235
0.84744,624.50977
0.85008,625.35986
0.84942,626.2093
0.85272,627.062
0.85338,627.9154
0.8547,628.7701
0.85668,629.6268
0.85734,630.48413
0.85734,631.3415
0.85668,632.1982
0.85734,633.05554
0.85668,633.91223
0.85668,634.7689
0.858,635.6269
0.85998,636.4869
2.54166,639.02856
0.8679,639.8965
0.84216,640.73865
0.84348,641.58215
0.84348,642.42566
0.84414,643.2698
0.84414,644.1139
0.84216,644.95605
0.84216,645.7982
0.84282,646.64105
0.84216,647.4832
0.85272,648.33594
0.8316,649.16754
0.84282,650.0104
0.84414,650.8545
0.84348,651.698
0.8481,652.5461
0.84942,653.3955
0.8481,654.2436
0.85206,655.09564
0.85206,655.9477
0.85206,656.79974
0.85272,657.65247
0.85338,658.50586
0.85404,659.3599
0.8547,660.2146
0.8547,661.0693
0.85272,661.922
0.85206,662.77405
0.85206,663.6261
0.84942,664.4755
0.84744,665.32294
0.8448,666.1677
0.84282,667.01056
0.8415,667.85205
0.84216,668.6942
0.84216,669.5364
0.84084,670.3772
0.83952,671.21674
0.8415,672.0582
0.83952,672.89777
0.85338,673.75116
0.82566,674.57684
0.8415,675.41833
0.8448,676.2631
